"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","","0","0","19","8","0"
"","US_015 | Save cart data current user","TC_015.01 | Save cart data of current user after re-login","0","0","3","1","0"
"","US_006 | Adding an item to the cart","TC_006.01 | Adding items to your non-empty cart","0","0","1","0","0"
"","US_014 | Exit to the catalog of products from the cart in order","TC_014.02 | Return to the catalog of products from shopping cart using the menu item ALL ITEMS","0","0","2","2","0"
"","US_005 | View product page","TC_005.01 | View details for product from products page","0","0","2","2","0"
"","US_007 | Sorting","TC_007.03 | Sorting products by price ascending","0","0","2","2","0"
"","US_016 | Return to the products page","TC_016.01 | Return to products page from checkout complete page","0","0","2","2","0"
"","US_002 | Privacy Policy","TC_002.05 | Read Privacy Policy from the final page","0","0","0","1","0"
"","US_002 | Privacy Policy","TC_002.03 | Read Privacy Policy from the checkout page","0","0","0","1","0"
"","US_011 | Removing an item from the cart","TC_011.07 Removing items from the cart","0","0","1","0","0"
"","US_002 | Privacy Policy","TC_002.02 | Read Privacy Policy from the cart","0","0","0","1","0"
"","US_002 | Privacy Policy","TC_002.04 | Read Privacy Policy from the checkout overview page","0","0","0","1","0"
"","US_007 | Sorting","TC_007.01 | Sorting products by name ascending","0","0","3","1","0"
"","US_002 | Privacy Policy","TC_002.01 | Read Privacy Policy from the catalog","0","0","0","1","0"
